x,min,mean,max
86,0.0,1.1157989501953124e-06,3.814697265625e-06
87,0.0,4.0912628173828125e-06,6.29425048828125e-05
88,0.0,1.86920166015625e-06,4.0531158447265625e-06
89,0.0,1.56402587890625e-06,4.0531158447265625e-06
90,0.0,1.926422119140625e-06,5.245208740234375e-06
91,0.0,1.8024444580078124e-06,4.291534423828125e-06
92,0.0,1.4400482177734375e-06,3.814697265625e-06
93,0.0,1.125335693359375e-06,4.0531158447265625e-06
94,7.152557373046875e-07,1.7547607421875e-06,3.814697265625e-06
95,7.152557373046875e-07,1.71661376953125e-06,4.76837158203125e-06
96,0.0,1.5163421630859376e-06,4.0531158447265625e-06
97,0.0,4.215240478515625e-06,6.508827209472656e-05
98,0.0,1.4209747314453125e-06,4.0531158447265625e-06
99,0.0,1.811981201171875e-06,4.0531158447265625e-06
100,0.0,6.9141387939453125e-06,0.00013494491577148438
101,0.0,1.5735626220703124e-06,4.291534423828125e-06
102,0.0,1.2874603271484376e-06,3.0994415283203125e-06
103,0.0,3.919601440429688e-06,6.29425048828125e-05
104,0.0,1.6880035400390625e-06,3.814697265625e-06
105,0.0,1.41143798828125e-06,3.814697265625e-06
106,7.152557373046875e-07,4.291534423828125e-06,6.29425048828125e-05
107,0.0,1.5163421630859376e-06,4.0531158447265625e-06
108,0.0,1.2683868408203126e-06,3.814697265625e-06
109,0.0,4.5013427734375e-06,6.103515625e-05
110,0.0,2.13623046875e-06,5.0067901611328125e-06
111,7.152557373046875e-07,1.373291015625e-06,3.814697265625e-06
112,7.152557373046875e-07,3.8909912109375e-06,6.222724914550781e-05
113,0.0,1.983642578125e-06,4.0531158447265625e-06
114,0.0,1.3065338134765626e-06,4.0531158447265625e-06
115,0.0,4.4536590576171874e-06,6.413459777832031e-05
116,9.5367431640625e-07,1.6498565673828125e-06,3.0994415283203125e-06
117,7.152557373046875e-07,2.079010009765625e-06,5.245208740234375e-06
118,0.0,3.919601440429688e-06,6.222724914550781e-05
119,0.0,1.697540283203125e-06,4.291534423828125e-06
120,0.0,1.8024444580078124e-06,5.0067901611328125e-06
121,0.0,1.9073486328125e-06,4.0531158447265625e-06
122,7.152557373046875e-07,1.621246337890625e-06,4.0531158447265625e-06
123,7.152557373046875e-07,1.773834228515625e-06,4.291534423828125e-06
124,0.0,1.4209747314453125e-06,4.76837158203125e-06
125,7.152557373046875e-07,2.02178955078125e-06,5.0067901611328125e-06
126,0.0,1.5544891357421874e-06,5.245208740234375e-06
127,0.0,1.4591217041015625e-06,4.0531158447265625e-06
128,0.0,1.8596649169921875e-06,5.0067901611328125e-06
129,7.152557373046875e-07,3.919601440429688e-06,5.507469177246094e-05
130,7.152557373046875e-07,2.040863037109375e-06,4.291534423828125e-06
131,7.152557373046875e-07,1.7547607421875e-06,4.291534423828125e-06
132,0.0,4.034042358398438e-06,6.198883056640625e-05
133,7.152557373046875e-07,1.8024444580078124e-06,4.0531158447265625e-06
134,9.5367431640625e-07,2.002716064453125e-06,4.291534423828125e-06
135,7.152557373046875e-07,1.52587890625e-06,3.814697265625e-06
136,0.0,1.5354156494140626e-06,4.0531158447265625e-06
137,0.0,0.00019831657409667968,0.004673004150390625
138,0.0,2.5081634521484374e-06,4.291534423828125e-06
139,9.5367431640625e-07,1.86920166015625e-06,4.76837158203125e-06
140,0.0,2.13623046875e-06,5.245208740234375e-06
141,7.152557373046875e-07,1.8310546875e-06,5.0067901611328125e-06
