x,y,min,mean,max
18,15,0.0,3.1948089599609376e-06,6.818771362304688e-05
18,16,0.0,5.14984130859375e-07,1.1920928955078125e-06
18,17,0.0,5.626678466796875e-07,1.1920928955078125e-06
18,18,0.0,5.245208740234375e-07,1.1920928955078125e-06
19,2,0.0,4.9591064453125e-07,1.1920928955078125e-06
19,3,0.0,3.39508056640625e-06,7.200241088867188e-05
19,4,0.0,5.435943603515625e-07,1.1920928955078125e-06
19,5,0.0,6.008148193359375e-07,1.1920928955078125e-06
19,6,0.0,6.103515625e-07,1.1920928955078125e-06
19,7,0.0,5.435943603515625e-07,1.1920928955078125e-06
19,8,0.0,3.1948089599609376e-06,6.818771362304688e-05
19,9,0.0,5.53131103515625e-07,1.1920928955078125e-06
19,10,0.0,5.245208740234375e-07,1.1920928955078125e-06
19,11,0.0,6.103515625e-07,1.1920928955078125e-06
19,12,0.0,5.245208740234375e-07,1.1920928955078125e-06
19,13,0.0,3.24249267578125e-06,6.794929504394531e-05
19,14,0.0,4.76837158203125e-07,1.1920928955078125e-06
19,15,0.0,6.008148193359375e-07,1.1920928955078125e-06
19,16,0.0,6.4849853515625e-07,1.1920928955078125e-06
19,17,0.0,4.863739013671875e-07,1.1920928955078125e-06
19,18,0.0,5.435943603515625e-07,1.1920928955078125e-06
19,19,0.0,3.2711029052734377e-06,6.890296936035156e-05
20,2,0.0,5.054473876953125e-07,1.1920928955078125e-06
20,3,0.0,6.008148193359375e-07,1.1920928955078125e-06
20,4,0.0,5.53131103515625e-07,1.1920928955078125e-06
20,5,0.0,6.008148193359375e-07,1.1920928955078125e-06
20,6,0.0,3.3283233642578127e-06,7.104873657226562e-05
20,7,0.0,5.91278076171875e-07,1.1920928955078125e-06
20,8,0.0,4.9591064453125e-07,1.1920928955078125e-06
20,9,0.0,5.245208740234375e-07,1.1920928955078125e-06
20,10,0.0,5.7220458984375e-07,1.1920928955078125e-06
20,11,0.0,4.57763671875e-06,0.000102996826171875
20,12,0.0,5.53131103515625e-07,1.1920928955078125e-06
20,13,0.0,4.76837158203125e-07,1.1920928955078125e-06
20,14,0.0,4.76837158203125e-07,1.1920928955078125e-06
20,15,0.0,6.008148193359375e-07,1.1920928955078125e-06
20,16,0.0,3.08990478515625e-06,6.604194641113281e-05
