x,min,mean,max
39,0.0,5.14984130859375e-07,1.1920928955078125e-06
40,0.0,6.389617919921875e-07,1.1920928955078125e-06
41,0.0,3.147125244140625e-06,6.604194641113281e-05
42,0.0,5.626678466796875e-07,1.1920928955078125e-06
43,0.0,6.008148193359375e-07,1.1920928955078125e-06
44,0.0,6.389617919921875e-07,1.1920928955078125e-06
45,0.0,3.070831298828125e-06,6.4849853515625e-05
46,0.0,5.245208740234375e-07,1.1920928955078125e-06
47,0.0,5.245208740234375e-07,1.1920928955078125e-06
48,0.0,6.008148193359375e-07,1.1920928955078125e-06
49,0.0,3.1948089599609376e-06,6.699562072753906e-05
50,0.0,5.626678466796875e-07,1.1920928955078125e-06
51,0.0,5.245208740234375e-07,1.1920928955078125e-06
52,0.0,5.626678466796875e-07,1.1920928955078125e-06
53,0.0,3.2520294189453126e-06,6.4849853515625e-05
54,0.0,4.291534423828125e-07,1.1920928955078125e-06
55,0.0,5.245208740234375e-07,1.1920928955078125e-06
56,0.0,4.291534423828125e-07,1.1920928955078125e-06
57,0.0,4.38690185546875e-07,1.1920928955078125e-06
58,0.0,4.863739013671875e-07,1.1920928955078125e-06
59,0.0,5.340576171875e-07,1.1920928955078125e-06
60,0.0,3.204345703125e-06,6.580352783203125e-05
61,0.0,5.626678466796875e-07,1.1920928955078125e-06
62,0.0,5.53131103515625e-07,1.1920928955078125e-06
63,0.0,5.340576171875e-07,1.1920928955078125e-06
64,0.0,3.2711029052734377e-06,7.009506225585938e-05
65,0.0,5.626678466796875e-07,1.1920928955078125e-06
66,0.0,5.91278076171875e-07,1.1920928955078125e-06
67,0.0,5.53131103515625e-07,1.1920928955078125e-06
68,0.0,5.245208740234375e-07,1.1920928955078125e-06
69,0.0,5.340576171875e-07,1.1920928955078125e-06
70,0.0,4.673004150390625e-07,1.1920928955078125e-06
71,0.0,5.9604644775390625e-06,0.00013399124145507812
72,0.0,5.626678466796875e-07,1.1920928955078125e-06
73,0.0,5.14984130859375e-07,1.1920928955078125e-06
74,0.0,6.389617919921875e-07,1.1920928955078125e-06
75,0.0,5.53131103515625e-07,1.1920928955078125e-06
76,0.0,5.817413330078125e-07,1.1920928955078125e-06
77,0.0,6.008148193359375e-07,1.1920928955078125e-06
